"Nest_ID","Year","Elevation","FirstEggDate","IncubationStart","ExpectedHatch","HatchDate","D8","D16","Clutch","Brood..D16.","Status","RFID","OLD_RFID","P_sex"
"33-2",2019,"H","11-Jun-19","14-Jun-19","26-Jun-19","29-Jun-19","6-Jul-19","14-Jul-19",4,4,"Success","01103F8DF7","0700EDE028","M"
"33-2",2019,"H","11-Jun-19","14-Jun-19","26-Jun-19","29-Jun-19","6-Jul-19","14-Jul-19",4,4,"Success","0700EDA11E","","F"
"33-5",2019,"H","8-Jun-19","14-Jun-19","26-Jun-19","29-Jun-19","6-Jul-19","14-Jul-19",7,NA,"Depredated","0700ED870D","","M"
"33-5",2019,"H","8-Jun-19","14-Jun-19","26-Jun-19","29-Jun-19","6-Jul-19","14-Jul-19",7,NA,"Depredated","0700EDF415","","F"
"34",2019,"H","7-Jun-19","12-Jun-19","24-Jun-19","25-Jun-19","2-Jul-19","10-Jul-19",5,4,"Success","0700EDC3CB","","M"
"34",2019,"H","7-Jun-19","12-Jun-19","24-Jun-19","25-Jun-19","2-Jul-19","10-Jul-19",5,4,"Success","01101796A6","","F"
"35",2019,"H","11-Jun-19","16-Jun-19","28-Jun-19","29-Jun-19","6-Jul-19","14-Jul-19",6,6,"Success","0700ED8E2B","","M"
"35",2019,"H","11-Jun-19","16-Jun-19","28-Jun-19","29-Jun-19","6-Jul-19","14-Jul-19",6,6,"Success","0700EE3C13","","F"
"38-1",2019,"H","5-Jun-19","11-Jun-19","23-Jun-19","24-Jun-19","1-Jul-19","9-Jul-19",6,6,"Success","0700EDB721","","M"
"38-1",2019,"H","5-Jun-19","11-Jun-19","23-Jun-19","24-Jun-19","1-Jul-19","9-Jul-19",6,6,"Success","011016B5C8","","F"
"41",2019,"H","10-Jun-19","13-Jun-19","25-Jun-19","28-Jun-19","5-Jul-19","13-Jul-19",4,3,"Success","0110170CC0","0700ED0584","M"
"41",2019,"H","10-Jun-19","13-Jun-19","25-Jun-19","28-Jun-19","5-Jul-19","13-Jul-19",4,3,"Success","0700ED97C3","","F"
"43-2",2019,"H","3-Jun-19","10-Jun-19","22-Jun-19","24-Jun-19","1-Jul-19","9-Jul-19",8,8,"Success","011017A7DF","0700EDC61E","M"
"43-2",2019,"H","3-Jun-19","10-Jun-19","22-Jun-19","24-Jun-19","1-Jul-19","9-Jul-19",8,8,"Success","0700EDB70E","","F"
"6A",2019,"H","7-Jun-19","14-Jun-19","26-Jun-19","27-Jun-19","4-Jul-19","12-Jul-19",8,8,"Success","0700EDAB8F","","M"
"6A",2019,"H","7-Jun-19","14-Jun-19","26-Jun-19","27-Jun-19","4-Jul-19","12-Jul-19",8,8,"Success","011017987F","","F"
"8A",2019,"H","10-Jun-19","15-Jun-19","27-Jun-19","28-Jun-19","5-Jul-19","13-Jul-19",6,6,"Success","030002B8FF","","M"
"8A",2019,"H","10-Jun-19","15-Jun-19","27-Jun-19","28-Jun-19","5-Jul-19","13-Jul-19",6,6,"Success","011017A2FF","","F"
"9A",2019,"H","4-Jun-19","9-Jun-19","21-Jun-19","27-Jun-19","4-Jul-19","12-Jul-19",5,2,"Success","0110179CC6","","M"
"9A",2019,"H","4-Jun-19","9-Jun-19","21-Jun-19","27-Jun-19","4-Jul-19","12-Jul-19",5,2,"Success","0700EE1132","","F"
"14A",2019,"H","9-Jun-19","14-Jun-19","26-Jun-19","","","",6,NA,"Depredated","","","M"
"14A",2019,"H","9-Jun-19","14-Jun-19","26-Jun-19","","","",6,NA,"Depredated","","","F"
"17A",2019,"H","6-Jun-19","14-Jun-19","26-Jun-19","29-Jun-19","6-Jul-19","14-Jul-19",9,8,"Success","0110172D2E","011017A21B","M"
"17A",2019,"H","6-Jun-19","14-Jun-19","26-Jun-19","29-Jun-19","6-Jul-19","14-Jul-19",9,8,"Success","0700ED985B","","F"
"21A",2019,"H","5-Jun-19","11-Jun-19","23-Jun-19","25-Jun-19","2-Jul-19","10-Jul-19",6,0,"Success","011017A0F6","","M"
"21A",2019,"H","5-Jun-19","11-Jun-19","23-Jun-19","25-Jun-19","2-Jul-19","10-Jul-19",6,0,"Success","011016D3AB","","F"
"B6",2019,"H","30-May-19","5-Jun-19","17-Jun-19","18-Jun-19","25-Jun-19","3-Jul-19",6,5,"Success","0700EDC75C","","M"
"B6",2019,"H","30-May-19","5-Jun-19","17-Jun-19","18-Jun-19","25-Jun-19","3-Jul-19",6,5,"Success","011017A0B1","","F"
"B12",2019,"H","30-May-19","16-Jun-19","28-Jun-19","1-Jul-19","8-Jul-19","16-Jul-19",11,5,"Success","0700EE4471","","M"
"B12",2019,"H","30-May-19","16-Jun-19","28-Jun-19","1-Jul-19","8-Jul-19","16-Jul-19",11,5,"Success","0700EE3453","","F"
"B16",2019,"H","3-Jun-19","10-Jun-19","22-Jun-19","22-Jun-19","29-Jun-19","7-Jul-19",7,7,"Success","0700EE3C50","","M"
"B16",2019,"H","3-Jun-19","10-Jun-19","22-Jun-19","22-Jun-19","29-Jun-19","7-Jul-19",7,7,"Success","011017A375","","F"
"B19",2019,"H","6-Jun-19","11-Jun-19","23-Jun-19","25-Jun-19","2-Jul-19","10-Jul-19",6,6,"Success","0700ED87B1","","M"
"B19",2019,"H","6-Jun-19","11-Jun-19","23-Jun-19","25-Jun-19","2-Jul-19","10-Jul-19",6,6,"Success","011016E4E3","","F"
"B30",2019,"H","3-Jun-19","6-Jun-19","18-Jun-19","","6-Jan-00","14-Jan-00",4,NA,"Depredated","011017A58B","","M"
"B30",2019,"H","3-Jun-19","6-Jun-19","18-Jun-19","","6-Jan-00","14-Jan-00",4,NA,"Depredated","","","F"
"B31",2019,"H","8-Jun-19","13-Jun-19","25-Jun-19","26-Jun-19","3-Jul-19","11-Jul-19",6,6,"Success","0700EDE460","0700EDEFA0","M"
"B31",2019,"H","8-Jun-19","13-Jun-19","25-Jun-19","26-Jun-19","3-Jul-19","11-Jul-19",6,6,"Success","0110179DD1","","F"
"B32",2019,"H","7-Jun-19","15-Jun-19","27-Jun-19","29-Jun-19","6-Jul-19","14-Jul-19",9,7,"Success","011016C70D","","M"
"B32",2019,"H","7-Jun-19","15-Jun-19","27-Jun-19","29-Jun-19","6-Jul-19","14-Jul-19",9,7,"Success","0700EDE04B","","F"
"4",2019,"L","15-May-19","22-May-19","3-Jun-19","4-Jun-19","11-Jun-19","19-Jun-19",7,7,"Success","0700ED8AE7 
","","M"
"4",2019,"L","15-May-19","22-May-19","3-Jun-19","4-Jun-19","11-Jun-19","19-Jun-19",7,7,"Success","0700EE3F4B","","F"
"8",2019,"L","15-May-19","23-May-19","4-Jun-19","7-Jun-19","14-Jun-19","22-Jun-19",8,8,"Success","0700EE00D6","","M"
"8",2019,"L","15-May-19","23-May-19","4-Jun-19","7-Jun-19","14-Jun-19","22-Jun-19",8,8,"Success","0700EE251E","","F"
"9",2019,"L","16-May-19","23-May-19","4-Jun-19","6-Jun-19","13-Jun-19","21-Jun-19",7,7,"Success","0700EE1664","","M"
"9",2019,"L","16-May-19","23-May-19","4-Jun-19","6-Jun-19","13-Jun-19","21-Jun-19",7,7,"Success","0700EDCFBE","","F"
"10",2019,"L","22-May-19","28-May-19","9-Jun-19","11-Jun-19","18-Jun-19","26-Jun-19",6,6,"Success","0700EE40A2","0700EE1199","M"
"10",2019,"L","22-May-19","28-May-19","9-Jun-19","11-Jun-19","18-Jun-19","26-Jun-19",6,6,"Success","0700EE4012","","F"
"12",2019,"L","26-May-19","4-Jun-19","16-Jun-19","15-Jun-19","22-Jun-19","30-Jun-19",6,6,"Success","0700EDFD3A","","M"
"12",2019,"L","26-May-19","4-Jun-19","16-Jun-19","15-Jun-19","22-Jun-19","30-Jun-19",6,6,"Success","0700EDF2C1","","F"
"15",2019,"L","18-May-19","28-May-19","9-Jun-19","8-Jun-19","15-Jun-19","23-Jun-19",7,7,"Success","0700EE1406","","M"
"15",2019,"L","18-May-19","28-May-19","9-Jun-19","8-Jun-19","15-Jun-19","23-Jun-19",7,7,"Success","0700EE199E","","F"
"16",2019,"L","27-May-19","4-Jun-19","16-Jun-19","16-Jun-19","23-Jun-19","1-Jul-19",8,7,"Success","011017A588","","M"
"16",2019,"L","27-May-19","4-Jun-19","16-Jun-19","16-Jun-19","23-Jun-19","1-Jul-19",8,7,"Success","0700EE2DCE","","F"
"19",2019,"L","16-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",8,7,"Success","0700EDC0C5","","M"
"19",2019,"L","16-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",8,7,"Success","0700ED9500","","F"
"22D",2019,"L","UNKNOWN!","11-Jun-19","23-Jun-19","23-Jun-19","30-Jun-19","8-Jul-19",6,6,"Success","01101797BD","","M"
"22D",2019,"L","UNKNOWN!","11-Jun-19","23-Jun-19","23-Jun-19","30-Jun-19","8-Jul-19",6,6,"Success","0700ED9F6B","","F"
